trial,kind,group,status,physical_execution,actual_tabletop_route,lift_success,flip_success,last_scored_gait,last_scored_gait_pass,last_passed_gait,g1_original_plan_gate_passed,observed_thumb_free_stable_hold,observed_thumb_free_supports,final_gait_world_translation_mm,final_gait_world_rotation_rad,final_gait_contacts_thumb_index_middle_ring_pinky,first_world_instability_s,first_low_after_lift_s,entered_policy,operation_steps,policy_action_mode,unchanged_policy_actions,static_hold_scored_seconds,static_hold_fixed_world_stable,static_hold_world_drift_mm,static_hold_world_rotation_rad,basic_10mm,strict_2mm,operation_fixed_world_stable,slider_travel_mm,endpoint_max_errors_mm,operation_drop,operation_world_drift_mm,operation_world_rotation_rad,operation_hand_drift_mm,operation_hand_rotation_rad,required_operation_success,endpoint_and_retention_cycles,continuous_whole_success,abort_phase,abort_reason,raw_failure_class,caution
R2-11-toward-functional-axis10,development,B,ended,True,True,,True,toward_functional10_2,False,toward_functional10_1,True,True,"[[""middle"", ""ring""], [""middle"", ""ring""], [""index"", ""middle"", ""ring""], [""index"", ""middle"", ""ring""]]",3.3583133150323676,0.2735898771528105,"[0.0, 0.2, 1.0, 1.0, 0.0]",64.53333669900894,,False,0,not_executed,,,,,,,,,,,,,,,,,,False,gait_toward_functional10_2,Gait fixed-reference stability failed: toward_functional10_2,ValueError,No policy evaluation; not a teacher/student failure
R2-12-candidate2-held-translation4,development,B,ended,True,True,True,True,held_translation_support_hold,True,held_translation_support_hold,False,False,[],0.6857197285656349,0.03741019891139658,"[1.0, 0.0, 1.0, 1.0, 0.0]",,,False,0,not_executed,,,,,,,,,,,,,,,,,,False,,,operation_not_requested,No policy evaluation; not a teacher/student failure
R2-13-candidate2-held-next8,development,B,ended,True,True,True,True,held_translation_next8_support_hold,True,held_translation_next8_support_hold,False,False,[],4.143287365584904,0.08355063397608871,"[1.0, 0.0, 1.0, 1.0, 0.0]",,,False,0,not_executed,,,,,,,,,,,,,,,,,,False,,,operation_not_requested,No policy evaluation; not a teacher/student failure
R2-14-candidate2-held-rotate10,development,B,ended,True,True,True,True,held_after12_rotation10_support_hold,True,held_after12_rotation10_support_hold,False,False,[],4.282485513760921,0.13689894608342904,"[1.0, 0.0, 1.0, 1.0, 0.0]",,,False,0,not_executed,,,,,,,,,,,,,,,,,,False,,,operation_not_requested,No policy evaluation; not a teacher/student failure
R2-15-A-functional-forward20-terminal,development,A,ended,True,False,,,,,,False,False,[],,,,12.400000646710396,,True,600,full,True,,,,,True,True,False,39.84134690836072,"[0.8254730701446542, 0.0, 0.2131205610930928, 0.0]",False,4.145659650660459,0.26505819950125303,4.382472728219352,0.2659004067148962,False,2,False,,,operation_unstable_drift,Independent preset A; no acquisition
R2-16-candidate2-pinky-bottom-support,development,B,ended,True,True,True,True,pinky_four_support_hold,True,pinky_four_support_hold,False,False,[],4.281673573223962,0.14549836652387396,"[1.0, 0.0, 1.0, 1.0, 1.0]",,,False,0,not_executed,,,,,,,,,,,,,,,,,,False,,,operation_not_requested,No policy evaluation; not a teacher/student failure
R3-01-candidate2-held-next-rotation10,development,B,ended,True,True,True,True,held_next_rotation10_support_hold,True,held_next_rotation10_support_hold,False,False,[],4.677679483915874,0.2261697432702049,"[1.0, 0.0, 1.0, 1.0, 0.0]",,,False,0,not_executed,,,,,,,,,,,,,,,,,,False,,,operation_not_requested,No policy evaluation; not a teacher/student failure
R3-02-candidate2-four-held-next10,development,B,ended,True,True,,True,four_held_next10_support_hold,False,four_held_next10_5,False,False,[],8.834966801321476,0.24390779856409606,"[1.0, 0.0, 0.0, 1.0, 0.6666666666666666]",,,False,0,not_executed,,,,,,,,,,,,,,,,,,False,gait_four_held_next10_support_hold,Required support contact not sustained: four_held_next10_support_hold digit 2,ValueError,No policy evaluation; not a teacher/student failure
R3-03-candidate2-held-world-alignment,development,B,ended,True,True,True,True,held_aligned_support_hold,True,held_aligned_support_hold,False,False,[],5.175334133717905,0.03557493236149062,"[1.0, 0.0, 1.0, 1.0, 0.0]",,,False,0,not_executed,,,,,,,,,,,,,,,,,,False,,,operation_not_requested,No policy evaluation; not a teacher/student failure
R3-04-candidate2-middle-normal-feedback,development,B,ended,True,True,,True,four_held_next10_support_hold,False,four_held_next10_5,False,False,[],8.857815367406028,0.2420304191570461,"[1.0, 0.0, 0.0, 1.0, 0.7333333333333333]",,,False,0,not_executed,,,,,,,,,,,,,,,,,,False,gait_four_held_next10_support_hold,Required support contact not sustained: four_held_next10_support_hold digit 2,ValueError,No policy evaluation; not a teacher/student failure
